iter	RMSE
0	0.2088770097
1	0.2052991026
2	0.2025219897
3	0.1991686746
4	0.1955492257
5	0.1926652331
6	0.1900741439
7	0.1869669295
8	0.1844007538
9	0.1819149345
10	0.1804610469
11	0.179006274
12	0.1772526687
13	0.1752753745
14	0.1739858037
15	0.1719787808
16	0.1707094284
17	0.1688981254
18	0.1671826386
19	0.1660255163
20	0.1649406775
21	0.1638232682
22	0.1628825278
23	0.1614908013
24	0.1601292365
25	0.1593704219
26	0.1584804945
27	0.1576122286
28	0.1568840324
29	0.154953179
30	0.1542004366
31	0.1530596023
32	0.1521588968
33	0.1511617491
34	0.1504599713
35	0.1490662794
36	0.1479251668
37	0.1467894903
38	0.1456916034
39	0.1443277507
40	0.1429866821
41	0.1421646441
42	0.1411386064
43	0.1400404668
44	0.1393310787
45	0.1387131142
46	0.1379835614
47	0.1376148209
48	0.1366623667
49	0.136256349
50	0.1357679862
51	0.1347992693
52	0.1344262131
53	0.1338580191
54	0.1332686445
55	0.1323022136
56	0.1315620876
57	0.1308173852
58	0.1297094351
59	0.1286207917
