iter	Passed	Remaining
0	6	682
1	13	642
2	19	639
3	25	607
4	32	612
5	39	617
6	46	614
7	52	607
8	58	593
9	65	585
10	71	580
11	77	569
12	86	576
13	94	581
14	102	579
15	109	575
16	116	566
17	122	558
18	129	551
19	137	551
20	145	546
21	156	553
22	163	545
23	169	538
24	176	529
25	184	523
26	191	518
27	198	511
28	205	504
29	214	499
30	221	492
31	227	484
32	235	478
33	243	472
34	250	465
35	256	456
36	263	448
37	269	440
38	276	431
39	283	424
40	290	418
41	297	411
42	304	403
43	310	395
44	316	387
45	323	379
46	331	373
47	341	369
48	350	364
49	356	356
50	363	348
51	369	340
52	375	333
53	383	326
54	390	319
55	397	312
56	403	304
57	410	296
58	416	289
59	423	282
60	431	276
61	447	274
62	456	268
63	463	260
64	470	253
65	477	245
66	485	238
67	493	232
68	499	224
69	506	216
70	512	209
71	518	201
72	525	194
73	532	187
74	541	180
75	548	173
76	557	166
77	568	160
78	575	153
79	585	146
80	593	139
81	600	131
82	607	124
83	613	116
84	619	109
85	626	101
86	635	94
87	646	88
88	664	82
89	674	74
90	693	68
91	706	61
92	719	54
93	728	46
94	737	38
95	745	31
96	752	23
97	760	15
98	767	7
99	775	0
